JENIS KELAMIN,KOTA LAHIR,AGAMA,KECAMATAN,ANGKATAN,TAHUN RAPORT 3,BIDANG STUDI KEAHLIAN,PROGRAM STUDI KEAHLIAN,KOMPETENSI KEAHLIAN,ASAL SEKOLAH
1,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,122
2,60,4,16,2,2,1,1,1,106
1,18,1,10,2,2,1,1,1,30
1,18,4,10,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,99
1,18,2,10,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,113
2,18,4,7,2,2,1,1,1,111
2,18,4,16,2,2,1,1,1,102
2,18,4,7,2,2,1,1,1,41
1,18,4,10,2,2,1,1,1,51
2,18,4,10,2,2,1,1,1,51
2,60,4,7,2,2,1,1,1,112
2,46,2,10,2,2,1,1,1,93
1,18,4,11,2,2,1,1,1,113
2,18,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,22
2,60,4,7,2,2,1,1,1,30
1,18,4,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,113
1,43,1,16,2,2,1,1,1,56
2,55,4,10,2,2,1,1,1,99
1,18,4,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,113
1,60,1,14,1,2,1,1,1,122
1,60,2,7,2,2,1,1,1,104
1,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,55
2,18,2,10,2,2,1,1,1,121
2,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,45
1,18,4,10,2,2,1,1,1,119
1,18,1,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,120
1,18,2,10,2,2,1,1,1,120
1,18,4,10,2,2,1,1,1,51
1,18,1,6,2,2,1,1,1,113
2,18,2,16,2,2,1,1,1,51
1,18,2,10,2,2,1,1,1,40
2,18,4,16,2,2,1,1,1,41
1,7,4,10,2,2,1,1,1,113
2,60,4,10,2,2,1,1,1,113
1,18,4,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,67
1,18,4,10,2,2,1,1,1,60
2,60,4,7,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,113
2,18,4,16,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,41
2,18,2,16,2,2,1,1,1,113
1,60,4,10,2,2,1,1,1,113
2,41,4,10,2,2,1,1,1,65
2,18,2,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,48
2,18,4,10,2,2,1,1,1,51
1,18,4,10,2,2,1,1,1,113
1,60,4,1,2,2,1,1,1,113
2,60,2,10,2,2,1,1,1,113
2,18,1,16,2,2,1,1,1,68
2,35,4,10,2,2,1,1,1,79
2,60,4,10,2,2,1,1,1,36
1,18,2,10,2,2,1,1,1,113
1,18,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
2,35,4,10,2,2,1,1,1,76
1,18,4,10,2,2,1,1,1,79
2,60,4,10,2,2,1,1,1,43
2,60,2,10,2,2,1,1,1,75
1,18,1,16,2,2,1,1,1,51
2,18,2,7,2,2,1,1,1,113
1,59,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,99
2,18,1,11,2,2,1,1,1,80
1,18,1,6,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,15
1,18,2,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,71
1,18,1,10,2,2,1,1,1,84
1,18,2,10,2,2,1,1,1,1
1,18,1,16,2,2,1,1,1,82
2,18,2,10,2,2,1,1,1,99
1,18,2,16,2,2,1,1,1,67
2,18,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,51
1,18,1,8,2,2,1,1,1,69
1,18,1,10,2,2,1,1,1,69
2,18,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,106
1,18,2,7,2,2,1,1,1,113
1,14,1,7,2,2,1,1,1,75
1,18,1,10,2,2,1,1,1,71
2,18,1,10,2,2,1,1,1,71
1,18,1,16,2,2,1,1,1,51
1,72,1,6,2,2,1,1,1,1
1,18,2,10,2,2,1,1,1,112
1,18,1,16,2,2,1,1,1,83
2,18,2,10,2,2,1,1,1,79
1,18,2,6,2,2,1,1,1,41
1,60,2,7,2,2,1,1,1,113
1,46,2,16,2,2,1,1,1,72
1,18,2,10,2,2,1,1,1,100
1,18,2,16,2,2,1,1,1,69
2,18,1,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,69
1,60,2,7,2,2,1,1,1,60
1,43,1,10,2,2,1,1,1,36
1,18,1,16,2,2,1,1,1,51
1,60,2,7,2,2,1,1,1,113
2,18,2,7,2,2,1,1,1,59
1,18,1,16,2,2,1,1,1,75
2,18,1,16,2,2,1,1,1,39
1,6,2,10,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,54
2,18,2,10,2,2,1,1,1,35
2,18,2,10,2,2,1,1,1,81
1,18,2,16,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,60
2,18,2,10,2,2,1,1,1,51
1,18,1,10,2,2,1,1,1,80
1,18,1,10,2,2,1,1,1,80
1,18,1,16,2,2,1,1,1,113
2,18,1,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,15
1,16,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
